,room_id,host_id,room_type,reviews,overall_satisfaction,accommodates,bedrooms,bathrooms,price,minstay,latitude,longitude
0,7565,20087,Entire home/apt,7,4.5,2,,0,95,4,35.67017,139.741313
1,13389,52289,Private room,47,4,1,1,1,34,5,35.644269,139.693466
2,32482,140380,Private room,35,4.5,2,1,,50,1,35.730653,139.689986
3,34647,149562,Entire home/apt,58,4.5,,1,1,88,3,35.65535,139.693043
4,34651,149562,Entire home/apt,,,4,1,1,67,3,35.673975,139.729755
5,35799,153791,Entire home/apt,3,3.5,5,2,1,302,5,35.658389,139.7744
6,42700,53552,Entire home/apt,24,5,,2,1,125,2,35.73166,139.76134
7,45458,53552,Entire home/apt,10,5,4,1,1,95,2,35.731696,139.762696
8,48413,219209,Entire home/apt,108,5,2,1,1,72,2,35.65914,139.676309
9,52978,245169,Entire home/apt,12,5,,3,1,120,5,35.685566,139.61178
10,57787,245169,Entire home/apt,,5,,3,1,200,4,35.697599,139.625904
11,68795,149562,Entire home/apt,22,5,4,1,1,86,3,35.64891,139.685904
12,84282,256962,Entire home/apt,18,5,3,1,1,112,1,35.665013,139.734432
13,88300,482910,Entire home/apt,58,5,3,1,1,95,3,35.64834,139.719106
14,108572,561814,Private room,39,4.5,1,1,2,21,3,35.705329,139.645695
15,108578,561814,Private room,111,4.5,2,1,2,34,3,35.706458,139.64858
16,108583,561814,Private room,90,4.5,1,1,2,24,3,35.705329,139.650156
17,114503,53552,Entire home/apt,4,4.5,4,1,1,95,2,35.73121,139.76102
18,119095,149562,Entire home/apt,31,4.5,,2,1,108,3,35.652728,139.689129
19,119522,202820,Entire home/apt,70,4.5,,3,2,140,1,35.662174,139.721669
20,122861,561814,Private room,67,4.5,2,1,2,34,3,35.70445,139.650234
21,133344,561814,Private room,49,4.5,2,1,2,34,3,35.704619,139.648155
22,145316,202820,Entire home/apt,25,4.5,,3,2,140,1,35.662193,139.721081
23,157129,754749,Private room,101,5,3,1,1,85,3,35.736496,139.698489
24,161044,409152,Private room,30,5,2,1,1,109,2,35.707146,139.68275
25,161231,771694,Entire home/apt,148,5,3,1,1,115,3,35.656577,139.696661
26,161232,771694,Entire home/apt,123,5,3,1,1,115,3,35.669006,139.700799
27,163172,561814,Private room,49,4.5,1,1,2,24,3,35.706337,139.648216
28,165497,561814,Private room,31,4,2,1,1,34,4,35.682658,139.680049
29,167974,771694,Entire home/apt,61,5,4,2,1,350,3,35.673628,139.708711
30,172276,822068,Entire home/apt,8,5,2,1,1,129,7,35.642605,139.702836
31,185107,561814,Private room,24,5,1,1,1,40,4,35.677626,139.708609
32,187881,888614,Entire home/apt,18,4.5,3,1,1,57,4,35.627284,139.684208
33,188304,1243920,Entire home/apt,68,5,4,1,1,120,3,35.709815,139.801657
34,197677,964081,Entire home/apt,86,4.5,4,1,1,95,3,35.717208,139.825961
35,203699,322234,Private room,42,5,1,1,1,45,3,35.613087,139.635927
36,208043,1009312,Entire home/apt,98,5,2,1,1,86,2,35.64082,139.692637
37,213922,1103758,Entire home/apt,35,5,,3,1.5,215,1,35.630858,139.704477
38,217659,1124438,Private room,42,4.5,2,1,1.5,73,2,35.667617,139.687128
39,221672,202820,Entire home/apt,102,4.5,5,1,1,75,1,35.671284,139.704988
40,226393,1180328,Private room,16,4,,1,1,32,3,35.72775,139.576098
41,227089,561814,Private room,44,4.5,1,1,2,24,3,35.700105,139.635496
42,270482,1416217,Entire home/apt,24,5,,1,1,277,2,35.625941,139.75461
43,272196,202820,Entire home/apt,126,4.5,3,1,1,72,1,35.673728,139.706641
44,281280,1466334,Private room,60,5,2,1,1,60,3,35.66326,139.745391
