accommodates,bedrooms,bathrooms,minstay,latitude,longitude,Entire home/apt,Private room,Shared room
6,1.0,1.0,1.0,37.555493,126.969682,1.0,0.0,0.0
3,1.0,1.0,1.0,37.573924,126.97340600000001,1.0,0.0,0.0
4,1.0,1.0,2.0,37.509411,127.058973,1.0,0.0,0.0
6,1.0,1.0,2.0,37.576309,127.02676100000001,0.0,1.0,0.0
6,3.0,1.0,2.0,37.561603000000005,126.92031399999999,1.0,0.0,0.0
11,4.0,4.0,1.0,37.55938,126.964127,1.0,0.0,0.0
4,0.0,1.0,2.0,37.559969,126.99216799999999,1.0,0.0,0.0
4,1.0,1.0,1.0,37.580773,127.005599,0.0,0.0,1.0
2,0.0,1.0,1.0,37.543005,126.95003999999999,1.0,0.0,0.0
8,2.0,2.0,1.0,37.513618,127.05701499999999,1.0,0.0,0.0
2,1.0,1.0,2.0,37.543601,126.95198,1.0,0.0,0.0
5,1.0,1.0,1.0,37.552301,126.96684199999999,1.0,0.0,0.0
4,1.0,1.0,1.0,37.546953,126.978366,0.0,1.0,0.0
4,0.0,1.0,1.0,37.569715,126.95199199999999,1.0,0.0,0.0
3,0.0,1.0,2.0,37.509038000000004,127.05693500000001,1.0,0.0,0.0
1,1.0,1.0,1.0,37.523894,127.032627,0.0,1.0,0.0
6,0.0,1.0,1.0,37.555397,126.924008,1.0,0.0,0.0
2,1.0,1.0,1.0,37.512147999999996,127.05376899999999,1.0,0.0,0.0
2,1.0,1.0,3.0,37.546128,126.950425,0.0,1.0,0.0
4,1.0,1.0,1.0,37.533008,126.993103,0.0,0.0,1.0
2,1.0,1.0,3.0,37.55345,126.944074,0.0,1.0,0.0
7,0.0,1.0,1.0,37.555279,126.96956899999999,1.0,0.0,0.0
9,2.0,1.0,1.0,37.557117,126.96776299999999,1.0,0.0,0.0
5,1.0,1.0,2.0,37.49992,127.029218,1.0,0.0,0.0
1,1.0,1.0,1.0,37.55852,126.92900900000001,0.0,1.0,0.0
2,1.0,1.0,1.0,37.586836,127.00934699999999,0.0,1.0,0.0
3,0.0,1.0,1.0,37.539485,126.97534099999999,1.0,0.0,0.0
2,1.0,2.0,1.0,37.526612,127.031029,0.0,1.0,0.0
8,0.0,1.0,1.0,37.562346999999995,126.989747,1.0,0.0,0.0
4,1.0,2.0,1.0,37.563787,126.91036100000001,0.0,0.0,1.0
3,1.0,1.0,1.0,37.498000000000005,127.03296,1.0,0.0,0.0
3,1.0,1.0,1.0,37.559656,126.983841,0.0,1.0,0.0
4,1.0,1.0,2.0,37.584132000000004,126.98606399999998,0.0,1.0,0.0
8,1.0,2.0,1.0,37.560461,126.92321399999999,0.0,0.0,1.0
2,1.0,1.0,3.0,37.465672,127.034898,1.0,0.0,0.0
5,3.0,2.0,2.0,37.549915000000006,126.97913799999999,1.0,0.0,0.0
2,0.0,1.0,1.0,37.555445,126.92575,1.0,0.0,0.0
2,1.0,1.0,3.0,37.496531,127.028605,1.0,0.0,0.0
1,1.0,1.0,1.0,37.554435999999995,126.93486499999999,0.0,1.0,0.0
2,1.0,1.0,2.0,37.547241,126.91362,0.0,1.0,0.0
6,2.0,1.0,3.0,37.554318,126.967271,1.0,0.0,0.0
4,1.0,1.0,2.0,37.507808000000004,127.043379,1.0,0.0,0.0
3,1.0,1.0,1.0,37.574154,126.990478,0.0,1.0,0.0
6,2.0,1.0,1.0,37.560831,126.994629,1.0,0.0,0.0
3,1.0,1.0,1.0,37.5613,126.921949,0.0,1.0,0.0
2,1.0,1.0,3.0,37.562601,126.91720500000001,0.0,1.0,0.0
2,1.0,1.0,2.0,37.521978999999995,127.02533700000001,1.0,0.0,0.0
5,1.0,1.0,1.0,37.557593,126.924995,1.0,0.0,0.0
11,2.0,1.0,1.0,37.560001,126.99047,1.0,0.0,0.0
4,1.0,1.0,1.0,37.5556,126.93220900000001,1.0,0.0,0.0
12,4.0,4.0,1.0,37.582857000000004,126.98648700000001,1.0,0.0,0.0
4,0.0,1.0,1.0,37.561152,126.985902,1.0,0.0,0.0
2,1.0,1.0,3.0,37.571870000000004,126.97273500000001,1.0,0.0,0.0
5,1.0,1.0,2.0,37.558146,126.925329,1.0,0.0,0.0
6,1.0,1.0,1.0,37.566528000000005,126.992746,0.0,0.0,1.0
5,2.0,1.0,2.0,37.539302,126.98725,1.0,0.0,0.0
2,1.0,1.0,7.0,37.520781,127.046733,1.0,0.0,0.0
6,2.0,1.0,2.0,37.565415,127.03511100000001,1.0,0.0,0.0
2,1.0,1.0,3.0,37.531979,126.998494,1.0,0.0,0.0
4,1.0,1.0,2.0,37.495148,127.02641200000001,1.0,0.0,0.0
2,1.0,1.0,2.0,37.509904,127.032648,1.0,0.0,0.0
2,1.0,1.0,2.0,37.580378,126.883048,1.0,0.0,0.0
5,2.0,1.0,1.0,37.554193,126.96933899999999,1.0,0.0,0.0
1,1.0,1.0,1.0,37.559515999999995,126.98562199999999,0.0,0.0,1.0
4,1.0,1.0,1.0,37.55612,126.968985,1.0,0.0,0.0
4,0.0,1.0,2.0,37.536353999999996,126.969043,1.0,0.0,0.0
2,0.0,1.0,3.0,37.507573,127.05760500000001,1.0,0.0,0.0
3,2.0,1.0,1.0,37.563757,126.92488300000001,1.0,0.0,0.0
2,1.0,2.0,1.0,37.489605,127.146372,0.0,1.0,0.0
5,1.0,1.0,2.0,37.567854,127.001729,1.0,0.0,0.0
6,0.0,1.0,1.0,37.562453000000005,126.989691,1.0,0.0,0.0
6,2.0,1.0,1.0,37.548992,126.91413200000001,1.0,0.0,0.0
3,0.0,1.0,2.0,37.498265,127.02785300000001,1.0,0.0,0.0
5,0.0,1.0,1.0,37.561263000000004,126.989729,1.0,0.0,0.0
3,1.0,0.0,1.0,37.558559,126.985853,0.0,1.0,0.0
6,2.0,1.0,3.0,37.533713,126.996249,1.0,0.0,0.0
1,1.0,1.0,2.0,37.555696000000005,126.938391,0.0,1.0,0.0
10,2.0,2.0,1.0,37.540324,126.945704,1.0,0.0,0.0
2,1.0,1.0,2.0,37.57172,127.017306,1.0,0.0,0.0
4,1.0,1.0,1.0,37.533776,126.992733,0.0,0.0,1.0
6,2.0,1.0,4.0,37.583988,126.97182099999999,1.0,0.0,0.0
1,1.0,1.0,1.0,37.562216,126.92403,0.0,0.0,1.0
2,1.0,1.0,1.0,37.563334000000005,126.99655600000001,0.0,1.0,0.0
3,1.0,1.0,2.0,37.573890000000006,126.97131200000001,1.0,0.0,0.0
9,4.0,2.0,1.0,37.534884000000005,126.991896,1.0,0.0,0.0
3,1.0,1.0,1.0,37.559527,126.985497,0.0,1.0,0.0
6,2.0,1.0,2.0,37.469658,126.904602,1.0,0.0,0.0
3,1.0,1.0,1.0,37.566111,126.9857,1.0,0.0,0.0
4,0.0,1.0,1.0,37.511523,127.040217,1.0,0.0,0.0
1,1.0,1.0,2.0,37.560631,126.926651,0.0,1.0,0.0
1,1.0,8.0,1.0,37.555633,126.92838300000001,0.0,0.0,1.0
3,1.0,1.0,3.0,37.567591,127.00296399999999,1.0,0.0,0.0
2,1.0,1.0,1.0,37.560834,126.923371,0.0,1.0,0.0
2,1.0,1.0,1.0,37.509634000000005,127.02086899999999,1.0,0.0,0.0
3,1.0,1.0,1.0,37.559892,126.985331,0.0,1.0,0.0
2,1.0,1.0,2.0,37.552842,126.9357,0.0,1.0,0.0
4,2.0,1.0,2.0,37.555721999999996,126.96958000000001,1.0,0.0,0.0
2,0.0,1.0,3.0,37.518485,127.048321,1.0,0.0,0.0
4,1.0,1.0,3.0,37.523493,127.02369099999999,1.0,0.0,0.0
3,1.0,1.0,1.0,37.532396000000006,126.998352,0.0,1.0,0.0
4,1.0,1.0,3.0,37.497295,127.028578,1.0,0.0,0.0
4,1.0,1.0,1.0,37.556881,126.923773,1.0,0.0,0.0
3,1.0,1.0,2.0,37.507215,127.100897,1.0,0.0,0.0
