accommodates,bedrooms,bathrooms,minstay,latitude,longitude,Entire home/apt,Private room,Shared room
2.0,1.0,1.0,2.0,35.563528999999996,139.69328000000002,1.0,0.0,0.0
5.0,1.0,1.5,1.0,35.625558000000005,139.62474699999999,1.0,0.0,0.0
1.0,1.0,1.0,1.0,35.669902,139.721586,0.0,1.0,0.0
3.0,1.0,1.0,3.0,35.6838,139.696355,1.0,0.0,0.0
4.0,1.0,7.5,1.0,35.727562,139.7093,0.0,1.0,0.0
2.0,4.0,1.0,1.0,35.762421,139.81026200000002,1.0,0.0,0.0
3.0,1.0,1.0,2.0,35.651059000000004,139.679102,1.0,0.0,0.0
4.0,1.0,1.5,1.0,35.702073999999996,139.686153,1.0,0.0,0.0
4.0,1.0,1.0,1.0,35.698168,139.804317,0.0,1.0,0.0
3.0,1.0,1.5,1.0,35.696591,139.66579299999998,0.0,1.0,0.0
2.0,1.0,1.0,1.0,35.715057,139.72489099999999,0.0,1.0,0.0
2.0,1.0,1.0,1.0,35.660587,139.722005,0.0,1.0,0.0
5.0,1.0,1.0,1.0,35.759924,139.717332,1.0,0.0,0.0
3.0,2.0,1.0,1.0,35.658364,139.734501,1.0,0.0,0.0
2.0,1.0,1.0,2.0,35.659896999999994,139.696427,1.0,0.0,0.0
2.0,1.0,0.0,1.0,35.696762,139.674758,1.0,0.0,0.0
3.0,1.0,1.0,2.0,35.656137,139.725285,0.0,1.0,0.0
4.0,1.0,1.5,3.0,35.703333,139.769575,0.0,1.0,0.0
3.0,1.0,1.0,2.0,35.660244,139.695084,1.0,0.0,0.0
5.0,1.0,1.0,1.0,35.656618,139.69845800000002,1.0,0.0,0.0
4.0,1.0,3.0,1.0,35.613825,139.664039,0.0,1.0,0.0
2.0,1.0,1.0,3.0,35.737726,139.663227,1.0,0.0,0.0
3.0,1.0,1.0,1.0,35.70717,139.729726,1.0,0.0,0.0
4.0,1.0,1.0,2.0,35.703626,139.736304,1.0,0.0,0.0
4.0,1.0,4.0,3.0,35.742371999999996,139.772076,0.0,1.0,0.0
2.0,0.0,1.0,3.0,35.645790999999996,139.713846,1.0,0.0,0.0
2.0,1.0,1.0,1.0,35.666645,139.639555,1.0,0.0,0.0
4.0,1.0,1.0,2.0,35.713874,139.78791299999997,1.0,0.0,0.0
5.0,1.0,1.0,2.0,35.658999,139.744274,1.0,0.0,0.0
2.0,1.0,1.0,1.0,35.720779,139.714505,0.0,1.0,0.0
3.0,1.0,1.0,1.0,35.738853000000006,139.718559,1.0,0.0,0.0
4.0,2.0,1.0,2.0,35.647327000000004,139.718693,1.0,0.0,0.0
5.0,1.0,1.0,7.0,35.792732,139.791213,1.0,0.0,0.0
4.0,1.0,1.0,2.0,35.657594,139.69468700000002,1.0,0.0,0.0
2.0,0.0,1.0,1.0,35.714754,139.717824,1.0,0.0,0.0
4.0,0.0,1.0,1.0,35.7054,139.80301699999998,1.0,0.0,0.0
2.0,1.0,1.0,3.0,35.662931,139.667148,1.0,0.0,0.0
2.0,1.0,1.0,7.0,35.708115,139.725253,0.0,1.0,0.0
4.0,1.0,1.0,3.0,35.71415,139.799454,1.0,0.0,0.0
4.0,1.0,1.0,2.0,35.705838,139.802923,1.0,0.0,0.0
4.0,1.0,1.0,1.0,35.707374,139.718232,1.0,0.0,0.0
2.0,0.0,1.0,2.0,35.646141,139.716781,1.0,0.0,0.0
4.0,2.0,1.0,2.0,35.639788,139.75357,1.0,0.0,0.0
5.0,1.0,1.0,2.0,35.655362,139.754781,1.0,0.0,0.0
2.0,1.0,1.0,1.0,35.634716999999995,139.665173,1.0,0.0,0.0
2.0,1.0,1.0,1.0,35.65125,139.74473,0.0,1.0,0.0
4.0,1.0,1.0,3.0,35.717208,139.825961,1.0,0.0,0.0
2.0,2.0,1.0,3.0,35.685958,139.697377,1.0,0.0,0.0
5.0,1.0,1.0,1.0,35.755410999999995,139.698557,0.0,0.0,1.0
1.0,1.0,1.0,6.0,35.665396,139.737675,0.0,1.0,0.0
1.0,1.0,1.0,1.0,35.697863,139.68848799999998,0.0,1.0,0.0
3.0,1.0,1.0,1.0,35.662627,139.69561299999998,1.0,0.0,0.0
4.0,1.0,1.0,2.0,35.666853,139.733038,1.0,0.0,0.0
3.0,1.0,1.0,1.0,35.697919,139.703936,1.0,0.0,0.0
4.0,1.0,2.0,3.0,35.742825,139.771471,0.0,1.0,0.0
2.0,1.0,1.0,3.0,35.66043,139.739504,1.0,0.0,0.0
1.0,1.0,1.0,1.0,35.652738,139.703939,1.0,0.0,0.0
3.0,1.0,1.0,1.0,35.726251,139.75655600000002,0.0,1.0,0.0
5.0,1.0,1.0,1.0,35.66151,139.73828400000002,1.0,0.0,0.0
2.0,1.0,1.0,4.0,35.68289,139.681486,0.0,1.0,0.0
2.0,1.0,1.0,2.0,35.668811,139.718725,1.0,0.0,0.0
5.0,2.0,1.0,2.0,35.715139,139.811027,1.0,0.0,0.0
3.0,0.0,1.0,1.0,35.680484,139.70253799999998,1.0,0.0,0.0
2.0,1.0,1.0,1.0,35.683673999999996,139.866,0.0,1.0,0.0
4.0,1.0,1.0,2.0,35.658784000000004,139.69458400000002,1.0,0.0,0.0
2.0,1.0,1.0,1.0,35.629077,139.731535,1.0,0.0,0.0
3.0,0.0,1.0,3.0,35.685083,139.682098,1.0,0.0,0.0
4.0,1.0,1.0,1.0,35.663872999999995,139.737539,1.0,0.0,0.0
1.0,1.0,1.0,1.0,35.661837,139.68787,1.0,0.0,0.0
3.0,1.0,1.0,3.0,35.712956,139.758649,0.0,1.0,0.0
3.0,1.0,1.0,4.0,35.633926,139.659565,0.0,1.0,0.0
4.0,1.0,1.0,1.0,35.693428000000004,139.713705,1.0,0.0,0.0
2.0,1.0,1.0,3.0,35.684749,139.681548,0.0,1.0,0.0
2.0,1.0,1.0,2.0,35.732602,139.70583,1.0,0.0,0.0
5.0,1.0,1.5,2.0,35.670076,139.70536299999998,1.0,0.0,0.0
3.0,1.0,1.0,1.0,35.642363,139.680071,1.0,0.0,0.0
4.0,0.0,1.0,2.0,35.639621999999996,139.673778,1.0,0.0,0.0
3.0,1.0,1.0,2.0,35.670068,139.74074299999998,1.0,0.0,0.0
3.0,1.0,1.0,1.0,35.770665,139.701934,1.0,0.0,0.0
2.0,1.0,1.5,1.0,35.692875,139.66215400000002,0.0,1.0,0.0
3.0,2.0,1.0,1.0,35.714202,139.71091,1.0,0.0,0.0
2.0,1.0,1.0,1.0,35.662334,139.664872,0.0,1.0,0.0
3.0,1.0,1.0,2.0,35.653422,139.702809,1.0,0.0,0.0
3.0,1.0,1.0,4.0,35.664124,139.663557,1.0,0.0,0.0
2.0,1.0,1.0,3.0,35.724567,139.729324,1.0,0.0,0.0
1.0,1.0,1.0,1.0,35.739791,139.72101,0.0,0.0,1.0
2.0,1.0,1.0,4.0,35.789031,139.70405,0.0,1.0,0.0
2.0,0.0,1.0,3.0,35.65653,139.70516999999998,1.0,0.0,0.0
3.0,1.0,1.0,1.0,35.735651000000004,139.704506,0.0,0.0,1.0
3.0,0.0,1.0,2.0,35.69713,139.770396,1.0,0.0,0.0
2.0,1.0,1.0,2.0,35.720246,139.733015,0.0,1.0,0.0
5.0,2.0,1.0,3.0,35.723778,139.689499,1.0,0.0,0.0
3.0,1.0,1.0,1.0,35.707291,139.799327,1.0,0.0,0.0
3.0,1.0,2.0,1.0,35.714951,139.799813,0.0,0.0,1.0
4.0,1.0,1.0,2.0,35.66507,139.730088,1.0,0.0,0.0
5.0,2.0,1.0,2.0,35.706233000000005,139.657904,1.0,0.0,0.0
4.0,1.0,1.0,2.0,35.654809,139.708596,1.0,0.0,0.0
2.0,0.0,1.0,4.0,35.657798,139.741041,1.0,0.0,0.0
5.0,1.0,1.0,1.0,35.703337,139.697067,1.0,0.0,0.0
5.0,2.0,1.0,1.0,35.623067,139.697786,1.0,0.0,0.0
4.0,1.0,1.0,3.0,35.680271000000005,139.776715,1.0,0.0,0.0
2.0,1.0,1.0,2.0,35.668068,139.66138600000002,1.0,0.0,0.0
2.0,1.0,1.0,1.0,35.65643,139.695808,1.0,0.0,0.0
3.0,1.0,1.0,2.0,35.645008000000004,139.750943,1.0,0.0,0.0
2.0,1.0,1.0,4.0,35.663564,139.633181,1.0,0.0,0.0
5.0,1.0,1.0,2.0,35.714652,139.72473200000002,0.0,1.0,0.0
4.0,1.0,1.0,1.0,35.694921,139.70654199999998,1.0,0.0,0.0
4.0,1.0,1.0,2.0,35.695554,139.697798,1.0,0.0,0.0
2.0,1.0,3.0,3.0,35.69585,139.70631,0.0,1.0,0.0
2.0,1.0,1.0,1.0,35.667033,139.769993,1.0,0.0,0.0
4.0,1.0,1.0,4.0,35.708502,139.69791899999998,1.0,0.0,0.0
1.0,1.0,2.0,2.0,35.644588,139.717365,0.0,1.0,0.0
4.0,1.0,1.0,1.0,35.65233,139.706779,1.0,0.0,0.0
4.0,1.0,1.0,1.0,35.700334000000005,139.693543,1.0,0.0,0.0
2.0,1.0,1.0,1.0,35.671092,139.709461,1.0,0.0,0.0
2.0,1.0,1.0,1.0,35.752677,139.798732,1.0,0.0,0.0
2.0,1.0,1.0,2.0,35.670334000000004,139.770805,1.0,0.0,0.0
4.0,0.0,1.0,3.0,35.695257,139.776903,1.0,0.0,0.0
2.0,1.0,1.0,3.0,35.653271000000004,139.689621,0.0,1.0,0.0
2.0,0.0,1.5,5.0,35.653441,139.69829099999998,1.0,0.0,0.0
3.0,1.0,1.0,3.0,35.670495,139.72943600000002,1.0,0.0,0.0
2.0,1.0,1.0,3.0,35.641017,139.609156,0.0,1.0,0.0
2.0,0.0,1.0,2.0,35.668786,139.732031,1.0,0.0,0.0
5.0,1.0,1.0,1.0,35.701609000000005,139.718774,1.0,0.0,0.0
3.0,1.0,3.0,1.0,35.764365000000005,139.669798,0.0,1.0,0.0
2.0,1.0,1.0,2.0,35.706962,139.68323700000002,1.0,0.0,0.0
5.0,2.0,1.0,2.0,35.734003,139.72974,1.0,0.0,0.0
2.0,1.0,1.0,1.0,35.631989000000004,139.691778,1.0,0.0,0.0
2.0,1.0,2.0,4.0,35.73043,139.836836,0.0,1.0,0.0
5.0,1.0,1.0,2.0,35.691328999999996,139.70848,1.0,0.0,0.0
1.0,1.0,1.0,1.0,35.658913,139.75323500000002,1.0,0.0,0.0
